Tribe,Faith,Warriors,Goods,Loyalty,Playstyle,Unique Action
Judah,3,3,3,3,"Natural group leader. Excels at becoming Champion and converting group success into personal Glory.","Rally the Tribes – Spend 1 Faith → Give +1 temporary Influence to one other player this round. You name the track; otherwise it lands on their affinity track. The gift is Supply."
Benjamin,2,5,2,3,"Aggressive combat specialist. High risk, high reward on Military Track.","Raid – Spend 1 Warrior → Gain 1 Goods + 1 Glory. If Military Track is in Low zone, lose 1 Loyalty instead of gaining Glory. The zone is settled after the Reveal."
Levi,5,2,2,4,"Covenant guardian. Strongest at Moral/Spiritual Track and protecting the shared meter.","Intercede – Spend 1 Faith → Raise Covenant Meter by 1, or protect it from the next drop this round. Protecting cancels that drop outright, including a Judgment drop of 2."
Ephraim,3,2,4,3,"Economic engine and political influencer (Deborah/Abdon tradition).","Double Portion – Spend 1 Goods → Gain 2 Goods or 1 Goods + 1 other resource."
Manasseh,3,3,3,5,"Tanky stabilizer. Hard to knock down; strong when tracks fail.","Hold the Line – Spend 1 Warrior or 1 Faith → Reduce the Covenant penalty of one failed track by 1 this round."
Reuben,2,4,3,3,"Early momentum and scouting (pastoral warrior tradition, Gilead ties).","Scout Ahead – Exhaust 1 Warrior → Look at the top card of the Crisis modifier deck."
Simeon,2,4,3,4,"High-risk skirmisher. Southern aggressive tradition.","Skirmish – Spend 1 Warrior → Gain 1 Glory. If Military is Low, also gain 1 Goods. The zone is settled after the Reveal."
Dan,3,4,0,3,"Trickster / strongman (Samson tradition). Flexible and disruptive.","Serpent’s Wisdom – Spend 1 Faith → Discard and redraw one pending Crisis modifier card (once per game)."
Naphtali,3,3,3,3,"Flexible support (Barak tradition). Good at repositioning and helping others.","Reposition – Move 1 of your already-placed Influence tokens to a different track (before resolution)."
Gad,2,4,3,4,"Frontline tank (Gilead warrior tradition).","Stand Firm – Spend 1 Warrior → Protect yourself from the next Loyalty loss this round."
Asher,2,2,5,3,"Economic powerhouse (coastal abundance tradition).","Harvest – Spend 1 Faith or rest → Gain 2 Goods."
Issachar,4,2,3,3,"Strategic planner (Tola’s stabilizing role). Information and timing advantage.","Study the Times – Spend 1 Faith → Look at the top two Crisis modifier cards and put them back in any order."
Zebulun,2,3,4,2,"Merchant engine (coastal/trade tradition, Elon).","Bargain – Spend 1 Goods → Perform two standard resource conversions this turn."
