name,quantity,tribe,color_hex,affinity_track,banner_resource,start_faith,start_warriors,start_goods,start_loyalty,income,income_note,playstyle,unique_name,unique_cost,unique_effect,upgrade_1_leader,upgrade_1_name,upgrade_1_text,upgrade_1_glory,upgrade_2_leader,upgrade_2_name,upgrade_2_text,upgrade_2_glory,upgrade_3_leader,upgrade_3_name,upgrade_3_text,upgrade_3_glory,art
Judah,1,Judah,#c9a227,Military,Warriors,3,3,3,3,1 Faith + 1 Warrior,Leadership / lion,Natural group leader. Excels at becoming Champion and converting group success into personal Glory.,Rally the Tribes,Spend 1 Faith,Give +1 temporary Influence to one other player this round.,Othniel I,Lion’s Rally,"When you become Champion of any track, gain +1 extra Glory.",3,Othniel II,Wholehearted Charge,"Once per round, when investing in Military, your tokens count as +1.",6,Othniel III,First in Line,"Once per game, after Influence is revealed, you may move 1 of your tokens to a different track.",9,tribe-judah.png
Benjamin,1,Benjamin,#8b2e2e,Military,Warriors,2,5,2,3,2 Warriors,Aggressive combat,"Aggressive combat specialist. High risk, high reward on Military Track.",Raid,Spend 1 Warrior,"Gain 1 Goods + 1 Glory. If Military Track is in Low zone, lose 1 Loyalty instead of gaining Glory.",Ehud I,Left-Handed Strike,"When you become Military Champion, gain +1 Warrior.",3,Ehud II,Hidden Dagger,"Once per round, you may treat 1 Warrior as 2 Influence on the Military Track.",6,Ehud III,Deliverer’s Legacy,"After winning Military Champion, you may immediately take a free Recruit action.",9,tribe-benjamin.png
Levi,1,Levi,#4a6fa5,Moral,Faith,5,2,2,4,2 Faith,Priestly / Covenant,Covenant guardian. Strongest at Moral/Spiritual Track and protecting the shared meter.,Intercede,Spend 1 Faith,Raise Covenant Meter by 1 or protect it from the next drop this round.,Phinehas I,Covenant Zeal,"When you become Moral Champion, raise Covenant Meter by 1.",3,Phinehas II,Intercession,"Once per round, spend 1 Faith to prevent 1 Covenant loss.",6,Phinehas III,Turned Away Wrath,"Once per game, one track you held counts twice, cancelling a failed track.",9,tribe-levi.png
Ephraim,1,Ephraim,#2d6a4f,Provision,Goods,3,2,4,3,1 Goods + 1 Faith,Economic + prophetic,Economic engine and political influencer (Deborah/Abdon tradition).,Double Portion,Spend 1 Goods,Gain 2 Goods or 1 Goods + 1 other resource.,Deborah,Prophetic Voice,"Once per round, when investing in Moral Track, gain +1 Faith if you become Champion.",3,Abdon I,Many Sons,"When you unlock this, gain 1 Goods permanently to your starting total for the rest of the game.",6,Abdon II,Landed Authority,"Once per round, you may convert 2 Goods into 1 Faith or 1 Warrior.",9,tribe-ephraim.png
Manasseh,1,Manasseh,#5c4d7a,Provision,Goods,3,3,3,5,1 Goods + 1 Loyalty (if below max),Stabilizer / thirty towns,Tanky stabilizer. Hard to knock down; strong when tracks fail.,Hold the Line,Spend 1 Warrior or 1 Faith,Reduce the Covenant penalty of one failed track by 1 this round.,Gideon,Fleece Test,"Once per round, before placing Influence, look at one track’s current special modifier (if any).",3,Jair,Thirty Towns,Gain +1 Goods when the Provision Track reaches High.,6,Jephthah,Outcast’s Resolve,"When a track you invested in fails, you lose 1 less Loyalty (minimum 0).",9,tribe-manasseh.png
Reuben,1,Reuben,#b5651d,Moral,Faith,2,4,3,3,1 Faith + 1 Warrior,Searchings of heart / pastoral,"Early momentum and scouting (pastoral warrior tradition, Gilead ties).",Scout Ahead,Exhaust 1 Warrior,Look at the top card of the Crisis modifier deck.,Reubenite Scout,Firstborn Advance,"You always place last in the placement phase, seeing how heavily every other tribe has committed before you commit.",3,Gilead Tie I,Pathfinder,"When you place at least 2 Influence on one track, name a second track you left empty and gain 1 temporary Supply Influence there.",6,Gilead Tie II,Bold Claim,"Once per game, gain +1 Glory for a track where you were not Champion but stood second in Banner strength.",9,tribe-reuben.png
Simeon,1,Simeon,#9c2f4a,Military,Warriors,2,4,3,4,2 Warriors,Skirmisher,High-risk skirmisher. Southern aggressive tradition.,Skirmish,Spend 1 Warrior,"Gain 1 Glory. If Military is Low, also gain 1 Goods.",Simeonite Raider,Vengeful Strike,"When you become Military Champion, gain +1 Warrior.",3,,Furious Assault,"After a Military Track failure you invested in, you may immediately place 1 token on it next round for free.",6,,Raid Leader,"Once per round, convert 1 Goods into 1 Warrior or vice versa at no loss.",9,tribe-simeon.png
Dan,1,Dan,#1d4e6e,Military,Warriors,3,4,0,3,2 Warriors + 1 Faith,"Strongman — the only three-resource income, and no Goods at all",Trickster / strongman (Samson tradition). Flexible and disruptive.,Serpent’s Wisdom,Spend 1 Faith,Discard and redraw one pending Crisis modifier card (once per game).,Samson I,Nazirite Strength,"If all your Banners are on a single track, they count double.",3,Samson II,Riddle & Cunning,"Once per round, you may move 1 of your tokens after all others are revealed.",6,Samson III,Final Stand,"Once per game, spend 2 Warriors so one track you held counts twice.",9,tribe-dan.png
Naphtali,1,Naphtali,#3d7c47,Moral,Faith,3,3,3,3,1 Faith + 1 Goods,Flexible support,Flexible support (Barak tradition). Good at repositioning and helping others.,Reposition,None (action),Move 1 of your already-placed Influence tokens to a different track (before resolution).,Barak I,Doe’s Leap,"Once per round, after the reveal, you may move 1 of your placed tokens to another track.",3,Barak II,Swift Response,"When you become Champion, you owe 1 temporary Influence to another tribe — name them and the track at your next placement. It arrives as Supply.",6,Barak III,Northern Alliance,"Once per game, after the reveal, name two tracks; your Influence on each counts 1 more.",9,tribe-naphtali.png
Gad,1,Gad,#6b5b3a,Military,Warriors,2,4,3,4,2 Warriors,Frontline tank,Frontline tank (Gilead warrior tradition).,Stand Firm,Spend 1 Warrior,Protect yourself from the next Loyalty loss this round.,Gadite Warrior,Raider’s Resolve,Reduce all Loyalty loss you suffer by 1 (minimum 0).,3,,Enduring Defense,"When Military Track is Low, your tokens on it count as +1.",6,,Overcomer,"Once per game, one track you held counts twice, cancelling a failed track.",9,tribe-gad.png
Asher,1,Asher,#a67c2d,Provision,Goods,2,2,5,3,2 Goods,Coastal abundance,Economic powerhouse (coastal abundance tradition).,Harvest,Spend 1 Faith or rest,Gain 2 Goods.,,Blessed Abundance,"When Provision Track reaches High, gain +1 extra Goods.",3,,Fertile Blessing,"Once per round, when you take a Generate Goods action, gain 1 additional Goods.",6,,Rich Harvest,"Once per game, double the Goods you gain from any single action or Champion reward.",9,tribe-asher.png
Issachar,1,Issachar,#4f6f8f,Moral,Faith,4,2,3,3,1 Faith + 1 Goods,Strategic / understanding,Strategic planner (Tola’s stabilizing role). Information and timing advantage.,Study the Times,Spend 1 Faith,Look at the top two Crisis modifier cards and put them back in any order.,,Understanding of Times,"Once per round, before placing tokens, look at one track’s current threshold status.",3,,Strategic Insight,"When you become Champion of any track, gain +1 Faith.",6,,Wise Counsel,"Once per game, after all tokens are placed, you may force one other player to move 1 of their tokens.",9,tribe-issachar.png
