name,quantity,card_number,title,flavor,reference,severity,effect,art
The High Places of Baal,1,1 / 14,The High Places of Baal,“The people forsook the Lord and served the Baals.”,Judges 2:13,Mild,Any Faith spent this round counts as only half Influence on the Moral Track (round down).,crisis-01-the-high-places-of-baal.png
Midianite Swarms,1,2 / 14,Midianite Swarms,“They came like locusts… and left no sustenance in Israel.”,Judges 6:5,Mild,The Provision Track threshold is increased by 1 this round.,crisis-02-midianite-swarms.png
Iron Chariots of the North,1,3 / 14,Iron Chariots of the North,“Sisera had nine hundred iron chariots…”,Judges 4:3,Mild,Military Track tokens cost 1 extra Warrior to place this round (or count as –1 Influence if you cannot pay).,crisis-03-iron-chariots-of-the-north.png
The Cry of the Oppressed,1,4 / 14,The Cry of the Oppressed,“The people of Israel cried out to the Lord…”,Judges 3:9,Mild-Positive,The first player to become Champion of any track this round gains +1 Faith.,crisis-04-the-cry-of-the-oppressed.png
Abimelech’s Ambition,1,5 / 14,Abimelech’s Ambition,“He hired worthless and reckless fellows…”,Judges 9:4,Moderate,"At the end of the round, the player with the most Glory loses 1 Loyalty (ties = all tied players lose 1).",crisis-05-abimelech-s-ambition.png
The Ammonite Claim,1,6 / 14,The Ammonite Claim,“Israel took away my land…”,Judges 11:13,Moderate,Military and Moral Tracks both require +1 total Influence to succeed this round.,crisis-06-the-ammonite-claim.png
Micah’s Idol,1,7 / 14,Micah’s Idol,“Every man did what was right in his own eyes.”,Judges 17:6,Moderate,Players may not spend Faith on tribe unique actions this round.,crisis-07-micah-s-idol.png
The Philistine Razor,1,8 / 14,The Philistine Razor,“The Philistines came up and encamped in Judah…”,Judges 15:9,Moderate,Any player who becomes Military Champion must immediately lose 1 Warrior or 1 Goods.,crisis-08-the-philistine-razor.png
Jephthah’s Vow,1,9 / 14,Jephthah’s Vow,“Whatever comes out from the doors of my house…”,Judges 11:31,Escalating,"If the Moral Track fails this round, the Covenant Meter drops an extra 1. If it succeeds, the Champion gains +1 Glory.",crisis-09-jephthah-s-vow.png
The Levite’s Concubine,1,10 / 14,The Levite’s Concubine,“Such a thing has never happened or been seen…”,Judges 19:30,Escalating,All Loyalty losses this round are increased by 1. (Stand Firm and similar protections still work.),crisis-10-the-levite-s-concubine.png
Civil Strife in Benjamin,1,11 / 14,Civil Strife in Benjamin,“There was a very great slaughter…”,Judges 20:35,Escalating,"After Champions are determined, the two players with the highest total Influence on the Military Track each lose 1 Loyalty.",crisis-11-civil-strife-in-benjamin.png
The Angel of the Lord,1,12 / 14,The Angel of the Lord,“I brought you up from Egypt… but you have not obeyed my voice.”,Judges 2:1-2,Escalating-Positive/Warning,Look at the top two cards of the Crisis deck. Put one on top and one on the bottom. Then raise or lower the Covenant Meter by 1 (your choice).,crisis-12-the-angel-of-the-lord.png
The Day of Midian,1,13 / 14,The Day of Midian,“The sword of the Lord and of Gideon!”,Judges 7:20,Heavy,"Military Track fails automatically unless the total Influence on it is at least double the normal threshold. If it succeeds, every player who invested at least 1 token gains +1 Glory.",crisis-13-the-day-of-midian.png
In Those Days There Was No King,1,14 / 14,In Those Days There Was No King,“…everyone did what was right in his own eyes.”,Judges 21:25,Heavy,"At the end of the round the Covenant Meter drops by 1 automatically, regardless of track results. In addition, no player may gain more than 1 Glory from Champion rewards this round.",crisis-14-in-those-days-there-was-no-king.png
