Card Number,Name,Flavor Text,Severity,Effect
1,"The High Places of Baal","The people forsook the Lord and served the Baals.",Mild,"Any Faith spent this round counts as only half Influence on the Moral Track (round down)."
2,"Midianite Swarms","They came like locusts… and left no sustenance in Israel.",Mild,"The Provision Track threshold is increased by 1 this round."
3,"Iron Chariots of the North","Sisera had nine hundred iron chariots…",Mild,"Military Track tokens cost 1 extra Warrior to place this round (or count as –1 Influence if you cannot pay)."
4,"The Cry of the Oppressed","The people of Israel cried out to the Lord…",Mild-Positive,"The first player to become Champion of any track this round gains +1 Faith."
5,"Abimelech’s Ambition","He hired worthless and reckless fellows…",Moderate,"At the end of the round, the player with the most Glory loses 1 Loyalty (ties = all tied players lose 1)."
6,"The Ammonite Claim","Israel took away my land…",Moderate,"Military and Moral Tracks both require +1 total Influence to succeed this round."
7,"Micah’s Idol","Every man did what was right in his own eyes.",Moderate,"Players may not spend Faith on tribe unique actions this round."
8,"The Philistine Razor","The Philistines came up and encamped in Judah…",Moderate,"Any player who becomes Military Champion must immediately lose 1 Warrior or 1 Goods."
9,"Jephthah’s Vow","Whatever comes out from the doors of my house…",Escalating,"If the Moral Track fails this round, the Covenant Meter drops an extra 1. If it succeeds, the Champion gains +1 Glory."
10,"The Levite’s Concubine","Such a thing has never happened or been seen…",Escalating,"All Loyalty losses this round are increased by 1. (Stand Firm and similar protections still work.)"
11,"Civil Strife in Benjamin","There was a very great slaughter…",Escalating,"After Champions are determined, the two players with the highest total Influence on the Military Track each lose 1 Loyalty."
12,"The Angel of the Lord","I brought you up from Egypt… but you have not obeyed my voice.",Escalating-Positive/Warning,"Look at the top two cards of the Crisis deck. Put one on top and one on the bottom. Then raise or lower the Covenant Meter by 1 (your choice)."
13,"The Day of Midian","The sword of the Lord and of Gideon!",Heavy,"Military Track fails automatically unless the total Influence on it is at least double the normal threshold. If it succeeds, every player who invested at least 1 token gains +1 Glory."
14,"In Those Days There Was No King","…everyone did what was right in his own eyes.",Heavy,"At the end of the round the Covenant Meter drops by 1 automatically, regardless of track results. In addition, no player may gain more than 1 Glory from Champion rewards this round."
