file,component,subject,prompt,status
crisis-01-the-high-places-of-baal.png,Crisis card,a hilltop shrine of carved stone pillars above a sleeping village,"a hilltop shrine of carved stone pillars above a sleeping village, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-02-midianite-swarms.png,Crisis card,a locust swarm darkening the sky over stripped barley terraces,"a locust swarm darkening the sky over stripped barley terraces, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-03-iron-chariots-of-the-north.png,Crisis card,iron-rimmed chariot wheels churning a dry valley floor,"iron-rimmed chariot wheels churning a dry valley floor, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-04-the-cry-of-the-oppressed.png,Crisis card,a crowd of villagers with raised open hands at dusk,"a crowd of villagers with raised open hands at dusk, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-05-abimelech-s-ambition.png,Crisis card,a usurper on a stone throne surrounded by hired swords,"a usurper on a stone throne surrounded by hired swords, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-06-the-ammonite-claim.png,Crisis card,a boundary stone contested by two armed delegations,"a boundary stone contested by two armed delegations, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-07-micah-s-idol.png,Crisis card,a household idol of silver in a curtained domestic shrine,"a household idol of silver in a curtained domestic shrine, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-08-the-philistine-razor.png,Crisis card,a Philistine encampment of tents ranged along a ridge,"a Philistine encampment of tents ranged along a ridge, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-09-jephthah-s-vow.png,Crisis card,"a lit doorway of a house at night, a figure returning alone","a lit doorway of a house at night, a figure returning alone, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-10-the-levite-s-concubine.png,Crisis card,"a cold dawn over an empty threshold, a discarded cloak","a cold dawn over an empty threshold, a discarded cloak, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
