Tribe,Upgrade 1,Upgrade 2,Upgrade 3
Judah,"Othniel I – Lion’s Rally: When you become Champion of any track, gain +1 extra Glory.","Othniel II – Wholehearted Charge: Once per round, when investing in Military, your tokens count as +1.","Othniel III – Claim the Field: Once per game, after the reveal, name a track. Every Supply token you paid for there stands up as a Banner — it counts toward Champion, and it takes the Loyalty penalty if the track fails. Gifted and temporary tokens are untouched."
Benjamin,"Ehud I – Left-Handed Strike: When you become Military Champion, gain +1 Warrior.","Ehud II – Hidden Dagger: Once per round, you may treat 1 Warrior as 2 Influence on the Military Track.","Ehud III – Deliverer’s Legacy: After winning Military Champion, you may immediately take a free Recruit action. The action is free; you still pay its cost."
Levi,"Phinehas I – Covenant Zeal: When you become Moral Champion, raise Covenant Meter by 1.","Phinehas II – The Tithe: Levi has no inheritance. You may never be Champion of the Provision Track. But if you have any Influence standing on Provision, whoever does Champion it pays you 1 Goods. Your Influence there still counts toward the threshold.","Phinehas III – Turned Away Wrath: Once per game, one track you held counts twice, cancelling a failed track."
Ephraim,"Deborah – Prophetic Voice: Once per round, when investing in Moral Track, gain +1 Faith if you become Champion.","Abdon I – Many Sons: When you unlock this, add +1 Goods to your per-round income, permanently.","Abdon II – Landed Authority: Once per round, you may convert 2 Goods into 1 Faith or 1 Warrior. This costs no action — trade and still take your turn."
Manasseh,"Gideon – Spend Your Resilience: Once per round, during placement, spend 1 Loyalty to place 2 Influence on any track for free. They arrive as Supply. Loyalty is the first tie-breaker at game end, so this is never free twice.","Jair – Thirty Towns: Gain +1 Goods when the Provision Track reaches High.","Jephthah – Outcast’s Resolve: When a track you invested in fails, you lose 1 less Loyalty (minimum 0)."
Reuben,"Reubenite Scout – Firstborn Advance: You always place last in the placement phase, seeing how heavily every other tribe has committed before you commit.","Gilead Tie I – Pathfinder: When you place at least 2 Influence on one track, name a second track you left empty and gain 1 temporary Supply Influence there.","Gilead Tie II – Bold Claim: Once per game, gain +1 Glory for a track where you were not Champion but stood second in Banner strength. It applies itself the first generation it can."
Simeon,"Simeonite Raider – Vengeful Strike: When you become Military Champion, gain +1 Warrior.","Furious Assault – After a Military Track failure you invested in, 1 free token is placed on Military for you next round, on top of whatever else you plan. It counts as a Banner.","Raid Leader – Once per round, convert 1 Goods into 1 Warrior or vice versa at no loss. This costs no action — trade and still take your turn."
Dan,"Samson I – Nazirite Strength: If you placed no Supply this generation, every Banner you placed counts double.","Samson II – Riddle & Cunning: Once per round, you may move 1 of your tokens after all others are revealed.","Samson III – Final Stand: Once per game, spend 2 Warriors so one track you held counts twice."
Naphtali,"Barak I – Doe’s Leap: Once per round, after the reveal, you may move 1 of your placed tokens to another track.","Barak II – Swift Response: When you become Champion, you owe 1 temporary Influence to another tribe — name them and the track at your next placement. It arrives as Supply.","Barak III – Northern Alliance: Once per game, after the reveal, name two tracks; your Influence on each counts 1 more."
Gad,"Gadite Warrior – Raider’s Resolve: Reduce all Loyalty loss you suffer by 1 (minimum 0).","Enduring Defense – When Military Track is Low, your tokens on it count as +1.","Overcomer – Once per game, one track you held counts twice, cancelling a failed track."
Asher,"Blessed Abundance – When Provision Track reaches High, gain +1 extra Goods.","Fertile Blessing – Once per round, when you take a Generate Goods action, gain 1 additional Goods.","Rich Harvest – Once per game, double the Goods you gain from any single action or Champion reward. Make it ready on your turn (this costs no action); it then waits until such a gain arrives, so it can never be wasted."
Issachar,"Understanding of Times – Once per round, before you place, name a track and see what actually stands on it against its threshold — face-down Influence included. What you see is a snapshot: tribes placing after you will change it.","Strategic Insight – When you become Champion of any track, gain +1 Faith.","Wise Counsel – Once per game, after the reveal, force one other player to move 1 of their own tokens. You name the token and the track it goes to. Gifted and temporary tokens are out of reach. A Banner dragged onto a track it did not pay for becomes Supply, and claims nothing."
Zebulun,"Sea Trader – Once per round, convert 1 Faith ↔ 1 Goods at 1:1. This costs no action — trade and still take your turn.","Commerce Route – When you become Provision Champion, gain +1 Glory.","Profitable Venture – Once per game, after gaining Goods from any source — an action, a Championship, spoil, even income — gain that many again. Make it ready on your turn (this costs no action); it then waits."
